cycle: 35; nbPreys: 99; minEnergyPreys: 0.03254899129563715; maxSizePreys: 1.0; nbPredators: 596; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.9400000013411045
cycle: 36; nbPreys: 105; minEnergyPreys: 0.0010195884716276415; maxSizePreys: 1.0; nbPredators: 579; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.9200000017881393
cycle: 37; nbPreys: 91; minEnergyPreys: 0.010843102237172539; maxSizePreys: 1.0; nbPredators: 572; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.9000000022351742
cycle: 38; nbPreys: 82; minEnergyPreys: 0.029999977648258513; maxSizePreys: 1.0; nbPredators: 549; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.880000002682209
cycle: 39; nbPreys: 80; minEnergyPreys: 0.0041666654869914055; maxSizePreys: 1.0; nbPredators: 504; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.8600000031292439
cycle: 40; nbPreys: 69; minEnergyPreys: 0.029999977648258513; maxSizePreys: 1.0; nbPredators: 483; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 1.0
cycle: 41; nbPreys: 74; minEnergyPreys: 0.0041666654869914055; maxSizePreys: 1.0; nbPredators: 471; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.9800000004470348
cycle: 42; nbPreys: 70; minEnergyPreys: 0.029803880590434095; maxSizePreys: 1.0; nbPredators: 456; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.9600000008940697
cycle: 43; nbPreys: 66; minEnergyPreys: 0.07980388133549216; maxSizePreys: 1.0; nbPredators: 418; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.9400000013411045
cycle: 44; nbPreys: 66; minEnergyPreys: 0.037499996833503246; maxSizePreys: 1.0; nbPredators: 388; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.9200000017881393
cycle: 45; nbPreys: 65; minEnergyPreys: 0.009999929219485004; maxSizePreys: 1.0; nbPredators: 373; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.9000000022351742
cycle: 46; nbPreys: 60; minEnergyPreys: 0.07999992921948496; maxSizePreys: 1.0; nbPredators: 335; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.880000002682209
cycle: 47; nbPreys: 62; minEnergyPreys: 0.029999928474426896; maxSizePreys: 1.0; nbPredators: 298; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.8600000031292439
cycle: 48; nbPreys: 55; minEnergyPreys: 0.030784161733646176; maxSizePreys: 1.0; nbPredators: 269; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.8400000035762787
cycle: 49; nbPreys: 54; minEnergyPreys: 0.031003855854507822; maxSizePreys: 1.0; nbPredators: 259; minEnergyPredators: 0.010000010952353477; maxSizePredators: 0.8200000040233135
cycle: 50; nbPreys: 53; minEnergyPreys: 0.02350979200063974; maxSizePreys: 1.0; nbPredators: 256; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.8000000044703484
cycle: 51; nbPreys: 51; minEnergyPreys: 0.0013999676644806947; maxSizePreys: 1.0; nbPredators: 243; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.7800000049173832
cycle: 52; nbPreys: 50; minEnergyPreys: 0.049999985843896866; maxSizePreys: 1.0; nbPredators: 214; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.760000005364418
cycle: 53; nbPreys: 49; minEnergyPreys: 0.016666661947965622; maxSizePreys: 1.0; nbPredators: 197; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.7400000058114529
cycle: 54; nbPreys: 51; minEnergyPreys: 0.019999723583463913; maxSizePreys: 1.0; nbPredators: 193; minEnergyPredators: 1.1175870895385742E-8; maxSizePredators: 0.7200000062584877
cycle: 55; nbPreys: 48; minEnergyPreys: 0.017843085845895446; maxSizePreys: 1.0; nbPredators: 177; minEnergyPredators: 7.450580596923828E-9; maxSizePredators: 0.7000000067055225
